chr,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockSizes,blockStarts,geneID,ReadsCount.input,ReadsCount.IP,log2FoldChange,pvalue,padj
chr17,79214913,79215013,peak_1592,97.54094054,+,79214913,79215013,0,1,100,0,C17orf89,458,1488,1.570535942,2.18E-30,4.34E-30
chr17,79632065,79633618,peak_1593,670.6938355,-,79632065,79633618,0,2,"549,71","0,1482",C17orf90,554,5680,2.835574537,1.17E-203,1.26E-202
chr17,36829858,36829908,peak_1594,18.06558023,-,36829858,36829908,0,1,50,0,C17orf96,13,125,2.54244206,3.63E-06,3.65E-06
chr17,36829133,36829808,peak_1595,194.7465862,-,36829133,36829808,0,1,675,0,C17orf96,115,1466,3.150609301,7.58E-60,2.37E-59
chr17,263693,264143,peak_1596,133.8875058,+,263693,264143,0,1,450,0,C17orf97,75,813,3.255366827,2.04E-41,4.96E-41
chr18,13645159,13645659,peak_1597,245.9915347,+,13645159,13645659,0,1,500,0,C18orf1,225,2065,2.729423188,2.36E-75,8.90E-75
chr18,13646509,13646584,peak_1598,28.1754306,+,13646509,13646584,0,1,75,0,C18orf1,11,131,3.407915214,3.02E-09,3.30E-09
chr18,43795842,43796192,peak_1599,103.7251833,+,43795842,43796192,0,1,350,0,C18orf25,210,977,2.119128887,2.89E-32,5.96E-32
chr18,43796317,43820001,peak_1600,137.2230861,+,43796317,43820001,0,2,"244,31","0,23653",C18orf25,323,1433,2.026560517,1.99E-42,4.92E-42
chr18,43842990,43843040,peak_1601,35.17619026,+,43842990,43843040,0,1,50,0,C18orf25,85,367,1.930129686,2.14E-11,2.58E-11
chr18,47008647,47010045,peak_1602,102.8615195,-,47008647,47010045,0,2,"133,92","0,1306","C18orf32,RPL17,RPL17-C18ORF32",233,944,2.054821614,5.28E-32,1.09E-31
chr18,51887176,51888013,peak_1603,26.90191749,+,51887176,51888013,0,2,"49,1","0,836",C18orf54,22,146,2.700673571,7.44E-09,7.97E-09
chr18,51888038,51888163,peak_1604,38.87677766,+,51888038,51888163,0,1,125,0,C18orf54,20,196,3.228675664,1.58E-12,1.98E-12
chr19,4657556,4657856,peak_1605,244.3431036,-,4657556,4657856,0,1,300,0,C19orf10,898,3449,1.739119944,7.43E-75,2.79E-74
chr19,30193492,30196188,peak_1606,78.10525952,-,30193492,30196188,0,2,"392,8","0,2688",C19orf12,51,547,3.015077845,1.75E-24,3.08E-24
chr19,30192892,30193342,peak_1607,149.6238993,-,30192892,30193342,0,1,450,0,C19orf12,68,962,3.435078561,3.49E-46,9.09E-46
chr19,30192567,30192642,peak_1608,26.65006375,-,30192567,30192642,0,1,75,0,C19orf12,8,115,3.676186522,8.89E-09,9.50E-09
chr19,751145,756963,peak_1609,46.88817699,+,751145,756963,0,2,"26,74","0,5744",C19orf21,191,805,1.526867492,5.64E-15,7.68E-15
chr19,757038,757688,peak_1610,274.6933491,+,757038,757688,0,1,650,0,C19orf21,1037,4755,1.659974066,4.91E-84,2.04E-83
chr19,758013,758313,peak_1611,101.1437088,+,758013,758313,0,1,300,0,C19orf21,524,2055,1.43312494,1.76E-31,3.57E-31
chr19,763667,763967,peak_1612,96.95141608,+,763667,763967,0,1,300,0,C19orf21,303,1276,1.779707704,3.29E-30,6.53E-30
chr19,1278873,1279243,peak_1613,449.006871,+,1278873,1279243,0,1,370,0,C19orf24,533,4427,2.522225325,1.04E-136,6.85E-136
chr19,1474724,1474974,peak_1614,49.49566276,-,1474724,1474974,0,1,250,0,C19orf25,58,458,2.400416393,9.03E-16,1.26E-15
chr19,3611601,3611851,peak_1615,49.66219545,-,3611601,3611851,0,1,250,0,C19orf29,104,621,2.015722882,8.03E-16,1.12E-15
chr19,3611051,3611376,peak_1616,65.90089026,-,3611051,3611376,0,1,325,0,C19orf29,90,665,2.321925975,9.02E-21,1.45E-20
chr19,3610826,3610876,peak_1617,26.70297151,-,3610826,3610876,0,1,50,0,C19orf29,81,374,1.632555786,8.56E-09,9.15E-09
chr19,3610726,3610776,peak_1618,29.59288676,-,3610726,3610776,0,1,50,0,C19orf29,32,203,2.455586316,1.11E-09,1.23E-09
chr19,3607394,3611859,peak_1619,38.05654396,+,3607394,3611859,0,3,"13,66,96","0,3803,4369",C19orf29-AS1,58,393,2.172157164,2.81E-12,3.50E-12
chr19,16757583,16757758,peak_1620,72.39462093,-,16757583,16757758,0,1,175,0,C19orf42,284,953,1.647745277,9.55E-23,1.61E-22
chr19,12841453,12841878,peak_1621,Inf,-,12841453,12841878,0,1,425,0,C19orf43,1197,8494,2.658269229,0,0
chr19,16611680,16613943,peak_1622,220.195536,+,16611680,16613943,0,2,"682,68","0,2195",C19orf44,311,1877,2.490879474,1.51E-67,5.18E-67
chr19,16631417,16631567,peak_1623,47.35244569,+,16631417,16631567,0,1,150,0,C19orf44,23,317,3.218984442,4.07E-15,5.57E-15
chr19,40827616,40828241,peak_1624,178.3995543,-,40827616,40828241,0,1,625,0,C19orf47,231,1778,2.413939392,6.73E-55,1.98E-54
chr19,40827491,40827566,peak_1625,24.04717767,-,40827491,40827566,0,1,75,0,C19orf47,29,205,2.249539287,5.59E-08,5.77E-08
chr19,51301060,51302160,peak_1626,Inf,-,51301060,51302160,0,1,1100,0,C19orf48,2888,21349,2.374054379,0,0
chr19,11040020,11040870,peak_1627,538.4995391,+,11040020,11040870,0,1,850,0,C19orf52,337,3806,3.153833957,9.64E-164,7.86E-163
chr19,13889002,13889352,peak_1628,688.0864572,+,13889002,13889352,0,1,350,0,C19orf53,1795,9345,1.917685754,6.57E-209,7.33E-208
chr19,41255600,41255775,peak_1629,42.46460658,-,41255600,41255775,0,1,175,0,C19orf54,105,488,1.919012616,1.26E-13,1.65E-13
chr19,41247885,41248135,peak_1630,60.99294406,-,41247885,41248135,0,1,250,0,C19orf54,153,744,1.929195833,2.82E-19,4.36E-19
chr19,41246810,41246885,peak_1631,33.91241832,-,41246810,41246885,0,1,75,0,C19orf54,82,352,1.871443188,5.24E-11,6.19E-11
chr19,36259556,36259931,peak_1632,121.246004,+,36259556,36259931,0,1,375,0,C19orf55,81,800,3.047168488,1.40E-37,3.17E-37
chr19,14000957,14001007,peak_1633,24.09874726,-,14000957,14001007,0,1,50,0,C19orf57,27,204,2.296354136,5.38E-08,5.57E-08
chr19,14000857,14000907,peak_1634,21.12985159,-,14000857,14000907,0,1,50,0,C19orf57,15,154,2.634204221,4.32E-07,4.36E-07
chr19,1010649,1011124,peak_1635,83.57688976,-,1010649,1011124,0,2,"245,30","0,445",C19orf6,397,1649,1.514362071,3.80E-26,6.93E-26
chr19,1010099,1010599,peak_1636,116.6016934,-,1010099,1010599,0,1,500,0,C19orf6,362,1774,1.754402064,3.57E-36,7.93E-36
chr19,1009724,1009924,peak_1637,47.55319029,-,1009724,1009924,0,1,200,0,C19orf6,250,956,1.39232609,3.54E-15,4.84E-15
chr19,49621803,49621878,peak_1638,25.71829732,-,49621803,49621878,0,1,75,0,C19orf73,21,189,2.591715529,1.72E-08,1.81E-08
chr7,7274152,7283168,peak_1639,377.8888695,+,7274152,7283168,0,3,"18,668,14","0,3733,9002",C1GALT1,247,2295,3.238770294,3.16E-115,1.75E-114
chr7,7283268,7283493,peak_1640,62.6321002,+,7283268,7283493,0,1,225,0,C1GALT1,92,446,2.36610904,8.93E-20,1.40E-19
chrX,119760103,119761137,peak_1641,498.7850361,-,119760103,119761137,0,2,"923,27","0,1007",C1GALT1C1,190,2579,3.78658894,9.52E-152,7.09E-151
chrX,119760028,119760078,peak_1642,28.99660862,-,119760028,119760078,0,1,50,0,C1GALT1C1,23,168,2.781755765,1.69E-09,1.87E-09
chr17,5336098,5336248,peak_1643,77.50747545,-,5336098,5336248,0,1,150,0,C1QBP,301,892,1.703629491,2.67E-24,4.66E-24
chr12,49726224,49726799,peak_1644,137.7700959,-,49726224,49726799,0,1,575,0,C1QL4,99,1065,2.941821073,1.36E-42,3.37E-42
chr17,77044165,77044215,peak_1645,25.24460858,+,77044165,77044215,0,1,50,0,C1QTNF1,32,228,2.204350127,2.40E-08,2.52E-08
chr22,37581362,37581412,peak_1646,38.99621658,-,37581362,37581412,0,1,50,0,C1QTNF6,196,755,1.391758951,1.45E-12,1.82E-12
chr22,37577880,37578705,peak_1647,993.2403453,-,37577880,37578705,0,1,825,0,C1QTNF6,1278,10066,2.542820869,5.40E-301,1.01E-299
chr22,37576205,37577130,peak_1648,666.4426346,-,37576205,37577130,0,1,925,0,C1QTNF6,759,6314,2.550723048,2.26E-202,2.40E-201
chr12,7188589,7241286,peak_1649,4.885336392,-,7188589,7241286,0,1,52697,0,C1R,246,283,0.431827703,0.03383508,0.03383508
chr12,7187739,7188414,peak_1650,279.1032249,-,7187739,7188414,0,1,675,0,C1R,242,2013,2.853096809,2.27E-85,9.58E-85
chr12,7261066,7261796,peak_1651,36.88558227,-,7261066,7261796,0,1,730,0,C1RL,193,729,1.382636627,6.43E-12,7.88E-12
chr12,7248595,7252507,peak_1652,884.4840642,-,7248595,7252507,0,1,3912,0,C1RL,992,6950,2.66294147,3.48E-268,5.54E-267
chr12,7247995,7248395,peak_1653,149.4663578,-,7247995,7248395,0,1,400,0,C1RL,190,1204,2.492422671,3.90E-46,1.01E-45
chr12,7168104,7168154,peak_1654,30.96914679,+,7168104,7168154,0,1,50,0,C1S,49,258,2.161905854,4.19E-10,4.76E-10
chr12,7177300,7178175,peak_1655,871.7724093,+,7177300,7178175,0,1,875,0,C1S,729,6016,2.934089227,2.37E-264,3.72E-263
chr1,38148566,38148691,peak_1656,43.64317551,-,38148566,38148691,0,1,125,0,C1orf109,68,362,2.25432228,5.52E-14,7.28E-14
chr1,220870077,220870227,peak_1657,41.01694893,+,220870077,220870227,0,1,150,0,C1orf115,39,290,2.616468399,3.49E-13,4.49E-13
chr1,220870502,220870827,peak_1658,76.38569298,+,220870502,220870827,0,1,325,0,C1orf115,24,404,3.864281272,5.85E-24,1.01E-23
chr1,220871377,220871427,peak_1659,31.29645028,+,220871377,220871427,0,1,50,0,C1orf115,45,261,2.226543785,3.32E-10,3.79E-10
chr1,220871577,220871702,peak_1660,43.78409352,+,220871577,220871702,0,1,125,0,C1orf115,57,327,2.375764687,5.00E-14,6.60E-14
chr1,38274708,38274783,peak_1661,30.30942994,+,38274708,38274783,0,1,75,0,C1orf122,101,444,1.64598067,6.67E-10,7.52E-10
chr1,38274833,38274883,peak_1662,35.06910919,+,38274833,38274883,0,1,50,0,C1orf122,82,390,1.884367219,2.31E-11,2.77E-11
chr1,53679896,53681675,peak_1663,243.7452593,-,53679896,53681675,0,2,"512,13","0,1766",C1orf123,155,1473,3.165571029,1.13E-74,4.22E-74
chr1,53679796,53679871,peak_1664,24.63408153,-,53679796,53679871,0,1,75,0,C1orf123,15,117,2.936521777,3.69E-08,3.84E-08
chr1,231487251,231487326,peak_1665,35.72949393,+,231487251,231487326,0,1,75,0,C1orf124,124,406,1.675418472,1.45E-11,1.76E-11
chr1,231488401,231489151,peak_1666,243.0837512,+,231488401,231489151,0,1,750,0,C1orf124,144,1385,3.281186001,1.79E-74,6.68E-74
chr1,231359958,231360108,peak_1667,48.96826662,-,231359958,231360108,0,1,150,0,C1orf131,166,575,1.731458025,1.31E-15,1.82E-15
chr1,26161421,26162321,peak_1668,459.4709911,-,26161421,26162321,0,1,900,0,C1orf135,467,3358,2.773974882,7.19E-140,4.85E-139
chr1,16721656,16721931,peak_1669,666.8182803,+,16721656,16721931,0,1,275,0,C1orf144,985,6506,2.378633441,1.74E-202,1.85E-201
chr1,19923470,19923520,peak_1670,25.02340246,+,19923470,19923520,0,1,50,0,"C1orf151-NBL1,MINOS1",80,365,1.603064783,2.81E-08,2.93E-08
chr1,19983536,19983886,peak_1671,167.2339156,+,19983536,19983886,0,1,350,0,"C1orf151-NBL1,NBL1",161,1482,2.677541164,1.62E-51,4.55E-51
chr1,1017597,1018272,peak_1672,215.0284259,-,1017597,1018272,0,1,675,0,C1orf159,245,2052,2.523276779,5.52E-66,1.86E-65
chr1,3807166,3807516,peak_1673,249.3078182,-,3807166,3807516,0,1,350,0,C1orf174,526,2506,2.113388261,2.34E-76,8.93E-76
chr1,230979184,230979434,peak_1674,147.7677417,-,230979184,230979434,0,1,250,0,C1orf198,807,3193,1.455055785,1.28E-45,3.29E-45
chr1,230975489,230975564,peak_1675,45.87928563,-,230975489,230975564,0,1,75,0,C1orf198,147,503,1.856085774,1.15E-14,1.55E-14
chr1,230974564,230975439,peak_1676,578.1627584,-,230974564,230975439,0,1,875,0,C1orf198,1114,5402,2.196939252,1.02E-175,9.03E-175
chr1,230974089,230974289,peak_1677,96.81017136,-,230974089,230974289,0,1,200,0,C1orf198,396,1259,1.666510821,3.63E-30,7.20E-30
chr1,230973139,230973189,peak_1678,46.37715251,-,230973139,230973189,0,1,50,0,C1orf198,139,523,1.789535807,8.09E-15,1.09E-14
chr1,24710408,24718140,peak_1679,29.07594515,-,24710408,24718140,0,1,7732,0,C1orf201,73,290,1.855183713,1.60E-09,1.77E-09
chr1,159828613,159832348,peak_1680,24.64003415,-,159828613,159832348,0,1,3735,0,"C1orf204,VSIG8",99,349,1.512574933,3.68E-08,3.82E-08
chr1,184588797,184588872,peak_1681,27.69743039,+,184588797,184588872,0,1,75,0,C1orf21,45,202,2.169612143,4.24E-09,4.59E-09
chr1,35320712,35321562,peak_1682,Inf,-,35320712,35321562,0,1,850,0,C1orf212,585,8247,3.661372083,0,0
chr1,36181351,36184406,peak_1683,393.0741756,-,36181351,36184406,0,1,3055,0,C1orf216,322,2935,2.893589168,8.14E-120,4.71E-119
chr1,36181176,36181326,peak_1684,49.45322039,-,36181176,36181326,0,1,150,0,C1orf216,55,397,2.520482874,9.30E-16,1.30E-15
chr1,36179851,36180401,peak_1685,134.0199658,-,36179851,36180401,0,1,550,0,C1orf216,149,1007,2.640507857,1.86E-41,4.53E-41
chr1,162353131,162353881,peak_1686,109.5651615,+,162353131,162353881,0,1,750,0,C1orf226,70,764,3.090359074,4.88E-34,1.04E-33
chr1,1534787,1534862,peak_1687,23.99137934,-,1534787,1534862,0,1,75,0,C1orf233,56,289,1.779453343,5.81E-08,6.00E-08
chr1,1534262,1534762,peak_1688,261.8356311,-,1534262,1534762,0,1,500,0,C1orf233,381,2755,2.315865675,3.81E-80,1.51E-79
chr1,1533387,1534137,peak_1689,895.8266624,-,1533387,1534137,0,1,750,0,C1orf233,641,7276,2.977592321,1.32E-271,2.13E-270
chr1,186390207,186390407,peak_1690,48.91241403,+,186390207,186390407,0,1,200,0,C1orf27,62,317,2.461216904,1.36E-15,1.89E-15
chr1,234510081,234519789,peak_1691,169.4317832,+,234510081,234519789,0,2,"54,321","0,9387",C1orf31,432,1677,2.041287834,3.49E-52,9.91E-52
chr1,228288427,228288802,peak_1692,175.8011329,-,228288427,228288802,0,1,375,0,C1orf35,206,1512,2.569970473,4.13E-54,1.20E-53
chr1,154179657,154180082,peak_1693,918.3093405,-,154179657,154180082,0,1,425,0,C1orf43,1659,8422,2.257224151,2.17E-278,3.64E-277
chr1,43240508,43241298,peak_1694,266.4514111,+,43240508,43241298,0,2,"31,419","0,371",C1orf50,102,1441,3.738457794,1.53E-81,6.17E-81
chr1,85718211,85718261,peak_1695,28.37303902,-,85718211,85718261,0,1,50,0,C1orf52,37,183,2.370342334,2.63E-09,2.88E-09
chr1,226172952,226176049,peak_1696,434.3132275,-,226172952,226176049,0,1,3097,0,C1orf55,639,3571,2.462711458,2.84E-132,1.81E-131
chr1,151020983,151022993,peak_1697,167.2202653,+,151020983,151022993,0,1,2010,0,C1orf56,194,1249,2.588294623,1.63E-51,4.59E-51
chr1,209956061,209957011,peak_1698,536.1329682,-,209956061,209957011,0,1,950,0,C1orf74,175,2912,3.948407402,4.99E-163,4.05E-162
chr1,156262477,156262827,peak_1699,131.8523244,-,156262477,156262827,0,1,350,0,C1orf85,225,1242,2.229214821,8.46E-41,2.03E-40
chr1,2116398,2116473,peak_1700,29.54112172,-,2116398,2116473,0,1,75,0,C1orf86,64,329,1.881305491,1.15E-09,1.28E-09
chr1,2115973,2116148,peak_1701,34.78289124,-,2115973,2116148,0,1,175,0,C1orf86,58,339,2.120977051,2.83E-11,3.38E-11
chr1,172558300,172558600,peak_1702,69.71698879,+,172558300,172558600,0,1,300,0,C1orf9,83,478,2.538100696,6.22E-22,1.03E-21
chr1,172558650,172558975,peak_1703,85.43616917,+,172558650,172558975,0,1,325,0,C1orf9,101,590,2.583673381,1.04E-26,1.91E-26
chr1,172579043,172579468,peak_1704,199.3573283,+,172579043,172579468,0,1,425,0,C1orf9,114,1100,3.293934862,3.05E-61,9.72E-61
chr1,229460801,229462502,peak_1705,127.4649236,-,229460801,229462502,0,1,1701,0,C1orf96,183,1062,2.459480242,1.82E-39,4.26E-39
chr20,61576100,61576700,peak_1706,694.027336,+,61576100,61576700,0,1,600,0,C20orf11,914,5881,2.594533208,1.06E-210,1.19E-209
chr20,61577150,61577900,peak_1707,244.1039959,+,61577150,61577900,0,1,750,0,C20orf11,244,1941,2.682945922,8.77E-75,3.29E-74
chr20,42825330,42826330,peak_1708,726.4831626,-,42825330,42826330,0,1,1000,0,C20orf111,1424,6976,2.224798525,1.68E-220,2.03E-219
chr20,31034986,31040055,peak_1709,281.6673917,-,31034986,31040055,0,2,"633,17","0,5052",C20orf112,213,2019,2.964389194,3.81E-86,1.62E-85
chr20,61431034,61431734,peak_1710,Inf,+,61431034,61431734,0,1,700,0,C20orf20,901,8129,3.027960037,0,0
chr20,35238116,35240917,peak_1711,Inf,+,35238116,35240917,0,2,"45,505","0,2296","C20orf24,TGIF2,TGIF2-C20ORF24",3034,17815,2.518743686,0,0
chr20,3804594,3804794,peak_1712,40.60569232,+,3804594,3804794,0,1,200,0,C20orf29,56,398,2.241953567,4.67E-13,5.98E-13
chr20,3804969,3805119,peak_1713,34.63533757,+,3804969,3805119,0,1,150,0,C20orf29,38,290,2.450019509,3.14E-11,3.75E-11
chr20,24943829,24943929,peak_1714,43.55122686,-,24943829,24943929,0,1,100,0,C20orf3,170,620,1.60040321,5.89E-14,7.76E-14
chr20,34827759,34843806,peak_1715,Inf,+,34827759,34843806,0,3,"788,230,307","0,4859,15740",C20orf4,999,8485,2.75142175,0,0
chr20,34843931,34844131,peak_1716,54.49606493,+,34843931,34844131,0,1,200,0,C20orf4,88,470,2.247584456,2.70E-17,3.94E-17
chr20,34844156,34844853,peak_1717,325.3796435,+,34844156,34844853,0,1,697,0,C20orf4,364,2522,2.612964418,2.33E-99,1.12E-98
chr20,17949761,17950995,peak_1718,264.9898314,+,17949761,17950995,0,2,"23,552","0,682",C20orf72,185,1641,3.069347175,4.23E-81,1.70E-80
chr20,17970685,17971060,peak_1719,178.6021113,+,17970685,17971060,0,1,375,0,C20orf72,107,1088,3.248863431,5.84E-55,1.72E-54
chr21,33765766,33766241,peak_1720,155.3606507,+,33765766,33766241,0,1,475,0,C21orf119,93,971,3.239559124,6.38E-48,1.71E-47
chr21,45749751,45749851,peak_1721,27.8256409,-,45749751,45749851,0,1,100,0,C21orf2,8,143,3.694654986,3.87E-09,4.20E-09
chr21,45748926,45748976,peak_1722,20.25258145,-,45748926,45748976,0,1,50,0,C21orf2,7,118,3.340708225,7.95E-07,8.01E-07
chr21,45564763,45565463,peak_1723,675.0903856,+,45564763,45565463,0,1,700,0,C21orf33,839,5510,2.56690335,5.52E-205,5.99E-204
chr21,47743417,47743617,peak_1724,43.3838486,-,47743417,47743617,0,1,200,0,C21orf58,91,520,1.935851979,6.62E-14,8.71E-14
chr21,47738074,47743217,peak_1725,291.8969159,-,47738074,47743217,0,2,"60,665","0,4478",C21orf58,446,2967,2.304499615,3.08E-89,1.35E-88
chr21,47721821,47721921,peak_1726,29.33508111,-,47721821,47721921,0,1,100,0,C21orf58,22,221,2.669998696,1.33E-09,1.48E-09
chr21,33984766,33984891,peak_1727,34.31530487,-,33984766,33984891,0,1,125,0,C21orf59,40,305,2.33728778,3.94E-11,4.68E-11
chr21,33887214,33887614,peak_1728,188.9623332,+,33887214,33887614,0,1,400,0,C21orf63,249,1618,2.533413036,4.29E-58,1.31E-57
chr21,46353773,46353973,peak_1729,39.71629993,-,46353773,46353973,0,1,200,0,C21orf67,12,243,3.702270129,8.73E-13,1.11E-12
chr21,45938740,45938790,peak_1730,21.15726998,+,45938740,45938790,0,1,50,0,C21orf90,10,131,3.016849336,4.24E-07,4.28E-07
chr21,19168931,19169431,peak_1731,118.7962545,-,19168931,19169431,0,1,500,0,"C21orf91,C21orf91-OT1",119,822,2.782468628,7.71E-37,1.73E-36
chr21,19165719,19165844,peak_1732,37.25441951,-,19165719,19165844,0,1,125,0,"C21orf91,C21orf91-OT1",18,197,3.266282899,4.96E-12,6.10E-12
chr22,24938230,24939821,peak_1733,Inf,-,24938230,24939821,0,2,"838,12","0,1579",C22orf13,1125,11136,2.834964322,0,0
chr22,24936405,24936805,peak_1734,694.9379009,-,24936405,24936805,0,1,400,0,C22orf13,528,4523,3.002636632,5.64E-211,6.35E-210
chr22,20052126,20052176,peak_1735,31.5414422,+,20052126,20052176,0,1,50,0,C22orf25,84,404,1.743423971,2.80E-10,3.20E-10
chr22,20052251,20052301,peak_1736,27.28905642,+,20052251,20052301,0,1,50,0,C22orf25,99,420,1.52974457,5.66E-09,6.10E-09
chr22,32783711,32788276,peak_1737,779.4801721,-,32783711,32788276,0,2,"375,50","0,4515",C22orf28,565,5169,3.098233886,1.70E-236,2.25E-235
chr22,19838083,19839983,peak_1738,Inf,-,19838083,19839983,0,1,1900,0,"C22orf29,GNB1L",1274,13579,2.956177045,0,0
chr22,19837833,19837958,peak_1739,48.32940575,-,19837833,19837958,0,1,125,0,"C22orf29,GNB1L",123,541,1.873065008,2.05E-15,2.83E-15
chr22,19837133,19837408,peak_1740,82.7536417,-,19837133,19837408,0,1,275,0,"C22orf29,GNB1L",180,810,2.065031008,6.75E-26,1.23E-25
chr22,19775958,19776308,peak_1741,79.68115307,-,19775958,19776308,0,1,350,0,"C22orf29,GNB1L",68,654,2.724209241,5.81E-25,1.03E-24
chr22,19435545,19435755,peak_1742,53.95831898,-,19435545,19435755,0,1,210,0,C22orf39,25,309,3.358753749,3.94E-17,5.71E-17
chr22,19431464,19431889,peak_1743,544.3352064,-,19431464,19431889,0,1,425,0,C22orf39,276,3856,3.355323673,1.67E-165,1.38E-164
chr22,19431314,19431364,peak_1744,25.99192009,-,19431314,19431364,0,1,50,0,C22orf39,50,253,1.955859532,1.41E-08,1.50E-08
chr22,19431164,19431289,peak_1745,38.11360425,-,19431164,19431289,0,1,125,0,C22orf39,93,411,1.871606779,2.70E-12,3.36E-12
chr22,46639909,46640959,peak_1746,269.3224281,-,46639909,46640959,0,1,1050,0,C22orf40,471,2780,2.204298359,2.07E-82,8.43E-82
chr22,42090115,42090290,peak_1747,39.49635345,+,42090115,42090290,0,1,175,0,C22orf46,80,382,2.006589374,1.02E-12,1.29E-12
chr22,42092765,42092815,peak_1748,23.14254356,+,42092765,42092815,0,1,50,0,C22orf46,12,151,2.95124973,1.06E-07,1.08E-07
chr22,42093365,42093565,peak_1749,37.35093174,+,42093365,42093565,0,1,200,0,C22orf46,39,317,2.468246775,4.63E-12,5.70E-12
chr21,43308943,43309418,peak_1750,105.3865246,-,43308943,43309418,0,1,475,0,C2CD2,113,778,2.621346151,9.05E-33,1.89E-32
chr21,43305268,43305668,peak_1751,81.08715951,-,43305268,43305668,0,1,400,0,C2CD2,69,557,2.836892686,2.17E-25,3.89E-25
chr11,118987083,118987233,peak_1752,26.93791984,+,118987083,118987233,0,1,150,0,C2CD2L,17,189,2.797938948,7.25E-09,7.78E-09
chr11,73785543,73785618,peak_1753,26.65787576,-,73785543,73785618,0,1,75,0,C2CD3,39,226,2.15334749,8.84E-09,9.44E-09
chr2,26987191,26987266,peak_1754,29.64944592,+,26987191,26987266,0,1,75,0,C2orf18,69,366,1.815523576,1.07E-09,1.19E-09
chr2,27000962,27001587,peak_1755,303.3669316,+,27000962,27001587,0,1,625,0,C2orf18,273,2619,2.770762656,1.05E-92,4.76E-92
chr2,27003537,27003712,peak_1756,42.381467,+,27003537,27003712,0,1,175,0,C2orf18,69,383,2.16669141,1.34E-13,1.75E-13
chr2,27439773,27439973,peak_1757,116.1000147,+,27439773,27439973,0,1,200,0,C2orf28,404,1435,1.745196034,5.07E-36,1.12E-35
chr2,101885910,101886135,peak_1758,51.13498683,+,101885910,101886135,0,1,225,0,C2orf29,114,460,2.059828661,2.86E-16,4.04E-16
chr2,70408921,70409815,peak_1759,56.91046748,-,70408921,70409815,0,2,"208,17","0,877",C2orf42,44,365,2.895237104,4.95E-18,7.38E-18
chr2,70408546,70408896,peak_1760,82.37066616,-,70408546,70408896,0,1,350,0,C2orf42,68,574,2.84134111,8.83E-26,1.60E-25
chr2,20886542,20886742,peak_1761,58.51543423,-,20886542,20886742,0,1,200,0,C2orf43,109,518,2.228504257,1.60E-18,2.43E-18
chr2,20885317,20885567,peak_1762,73.51781749,-,20885317,20885567,0,1,250,0,C2orf43,141,649,2.144193363,4.35E-23,7.39E-23
chr2,24261401,24270227,peak_1763,525.1218979,-,24261401,24270227,0,2,"981,44","0,8782",C2orf44,254,3031,3.481076411,1.06E-159,8.37E-159
chr2,24261251,24261326,peak_1764,38.82858876,-,24261251,24261326,0,1,75,0,C2orf44,31,234,2.807761704,1.63E-12,2.05E-12
chr2,24261151,24261226,peak_1765,32.31735428,-,24261151,24261226,0,1,75,0,C2orf44,22,172,2.908571872,1.62E-10,1.87E-10
chr2,24260601,24260976,peak_1766,103.4099578,-,24260601,24260976,0,1,375,0,C2orf44,103,703,2.709414173,3.60E-32,7.42E-32
chr2,24255796,24260576,peak_1767,28.62128249,-,24255796,24260576,0,2,"20,30","0,4750",C2orf44,34,194,2.386879116,2.20E-09,2.42E-09
chr2,24253580,24253930,peak_1768,82.17847526,-,24253580,24253930,0,1,350,0,C2orf44,102,629,2.496761618,1.01E-25,1.83E-25
chr2,10350614,10350714,peak_1769,28.37826014,+,10350614,10350714,0,1,100,0,C2orf48,7,154,3.850707641,2.62E-09,2.87E-09
chr2,105959356,105961772,peak_1770,120.0357134,+,105959356,105961772,0,2,"324,1","0,2415",C2orf49,195,989,2.299574941,3.25E-37,7.34E-37
chr2,37474687,37475667,peak_1771,515.1294702,+,37474687,37475667,0,2,"85,390","0,590",C2orf56,378,3108,3.054485167,1.11E-156,8.52E-156
chr2,85834825,85836075,peak_1772,415.111199,-,85834825,85836075,0,1,1250,0,C2orf68,498,3163,2.585514453,1.79E-126,1.09E-125
chr2,85833725,85833900,peak_1773,50.33649312,-,85833725,85833900,0,1,175,0,C2orf68,77,399,2.323929022,5.00E-16,7.03E-16
chr2,200776478,200790568,peak_1774,247.2571703,+,200776478,200790568,0,2,"16,784","0,13306",C2orf69,152,1433,3.223252149,9.76E-76,3.70E-75
chr2,61390317,61391813,peak_1775,84.03081428,+,61390317,61391813,0,2,"50,325","0,1171",C2orf74,101,588,2.562362281,2.77E-26,5.06E-26
chr2,85066425,85108122,peak_1776,587.4828046,-,85066425,85108122,0,3,"22,561,67","0,30923,41630",C2orf89,680,5332,2.610922068,1.56E-178,1.41E-177
chr2,85048795,85049220,peak_1777,263.0942259,-,85048795,85049220,0,1,425,0,C2orf89,177,1820,3.119709919,1.59E-80,6.32E-80
chr19,6719349,6720661,peak_1778,41.11048466,-,6719349,6720661,0,2,"65,135","0,1177",C3,89,480,1.915144703,3.27E-13,4.21E-13
chr3,112729959,112730034,peak_1779,34.1917422,-,112729959,112730034,0,1,75,0,C3orf17,132,386,1.62964132,4.30E-11,5.10E-11
